source_file,benchmark,algorithm,n,mean_objective_evaluations,std_objective_evaluations,median_objective_evaluations
reward_sensitivity_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,Dominance-heavy,20,6112.2,46.67085194264865,6129.5
reward_sensitivity_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,Equal-weights,20,6102.15,43.95604862275857,6103.0
reward_sensitivity_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,High-alpha,20,6107.75,41.337984316708294,6108.0
reward_sensitivity_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,Improvement-heavy,20,6110.8,48.41661306878695,6107.5
reward_sensitivity_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,Low-alpha,20,6095.25,32.49433148946702,6094.0
reward_sensitivity_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,No-clipping,20,6098.9,34.15583482556939,6091.5
reward_sensitivity_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,Tight-clipping,20,6110.4,44.47518527519765,6101.5
reward_sensitivity_r20_g70\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,ADARE,20,6008.65,56.52039687721499,6012.5
reward_sensitivity_r20_g70\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,Dominance-heavy,20,6014.8,27.63407507522475,6014.5
reward_sensitivity_r20_g70\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,Equal-weights,20,6022.1,46.97020332082884,6013.5
reward_sensitivity_r20_g70\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,High-alpha,20,6028.3,59.98166386488457,6026.5
reward_sensitivity_r20_g70\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,Improvement-heavy,20,5995.15,51.266358108258586,5988.0
reward_sensitivity_r20_g70\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,Low-alpha,20,6024.0,40.869497054327496,6026.0
reward_sensitivity_r20_g70\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,No-clipping,20,6008.65,56.52039687721499,6012.5
reward_sensitivity_r20_g70\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,Tight-clipping,20,6025.2,42.20202040561316,6027.0
scaling_diagnostics_r10_g30\scaling_run_metrics.csv,Montage_1000,ADARE,30,1617.7666666666667,22.532250195011034,1619.0
scaling_diagnostics_r10_g30\scaling_run_metrics.csv,Montage_1000,NSGA-III,30,1605.5666666666666,14.861854280125284,1606.0
scaling_diagnostics_r10_g30\scaling_run_metrics.csv,Montage_1000,QL-NSGA-III,30,1616.3,14.886119431340658,1620.0
scaling_diagnostics_r10_g30\scaling_run_metrics.csv,Montage_25,ADARE,10,1575.0,29.962940072325644,1565.5
scaling_diagnostics_r10_g30\scaling_run_metrics.csv,Montage_25,NSGA-III,10,1523.9,28.51685661343324,1529.5
scaling_diagnostics_r10_g30\scaling_run_metrics.csv,Montage_25,QL-NSGA-III,10,1557.7,17.505872030708883,1564.0
scaling_diagnostics_r10_g30\scaling_run_metrics.csv,Montage_3000_wfcommons,ADARE,10,1609.3,17.391249396048448,1612.5
scaling_diagnostics_r10_g30\scaling_run_metrics.csv,Montage_3000_wfcommons,NSGA-III,10,1600.5,24.726279317537625,1609.0
scaling_diagnostics_r10_g30\scaling_run_metrics.csv,Montage_3000_wfcommons,QL-NSGA-III,10,1614.0,23.05548862105411,1607.5
small_all_algorithms_r20_g70\CyberShake\reports\CyberShake_30_extended_run_metrics.csv,CyberShake_30,ADARE,20,6096.55,50.998942197492276,6101.5
small_all_algorithms_r20_g70\CyberShake\reports\CyberShake_30_extended_run_metrics.csv,CyberShake_30,MOEA/D,20,3605.05,122.30827101179518,3627.0
small_all_algorithms_r20_g70\CyberShake\reports\CyberShake_30_extended_run_metrics.csv,CyberShake_30,NSGA-II,20,5960.9,40.53835091289287,5964.5
small_all_algorithms_r20_g70\CyberShake\reports\CyberShake_30_extended_run_metrics.csv,CyberShake_30,NSGA-III,20,5955.55,49.77895877619484,5956.0
small_all_algorithms_r20_g70\CyberShake\reports\CyberShake_30_extended_run_metrics.csv,CyberShake_30,OVEA-style,20,3995.05,474.8945007494878,4178.0
small_all_algorithms_r20_g70\CyberShake\reports\CyberShake_30_extended_run_metrics.csv,CyberShake_30,QL-NSGA-III,20,6085.75,34.82720503466099,6098.0
small_all_algorithms_r20_g70\CyberShake\reports\CyberShake_30_extended_run_metrics.csv,CyberShake_30,QMOEA/D-AWA-style,20,2337.85,97.41029611634329,2334.5
small_all_algorithms_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,ADARE,20,6098.9,34.15583482556939,6091.5
small_all_algorithms_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,MOEA/D,20,4179.6,176.24874766259072,4156.5
small_all_algorithms_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,NSGA-II,20,6010.25,35.867996290491845,6011.0
small_all_algorithms_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,NSGA-III,20,6011.35,32.07766069696283,6018.5
small_all_algorithms_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,OVEA-style,20,4547.9,454.0421844533368,4428.0
small_all_algorithms_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,QL-NSGA-III,20,6076.7,41.87713859425099,6088.5
