benchmark,algorithm,source_run,point,makespan,latency,cost,energy
CyberShake_30,NSGA-II,5,24,13960.05403695012,69720.60970067608,12690.149630769234,36766349.461538464
CyberShake_30,NSGA-II,5,25,14171.294061523437,63123.52822264422,16590.14132307692,45135125.31615385
CyberShake_30,NSGA-II,5,26,14215.374325384615,75452.97179618687,17539.173092307687,35529868.88461539
CyberShake_30,NSGA-II,5,27,14325.591266923075,64101.29169202223,15979.038092307694,40539403.88461538
CyberShake_30,NSGA-II,5,28,14368.285239257812,61746.72028990685,16226.500364615384,43496817.56923077
CyberShake_30,NSGA-II,5,29,14562.79540775541,66121.17761426681,13950.458056923075,36890107.95384616
CyberShake_30,NSGA-II,5,30,14860.951636721755,83518.73946512019,11740.327707692311,37206143.115384616
CyberShake_30,NSGA-II,5,31,14977.522530000002,76957.28998777644,13240.550749230768,34521723.33846155
CyberShake_30,NSGA-II,5,32,15181.292724615383,84379.12872029745,18036.111553846153,33675223.307692304
CyberShake_30,NSGA-II,5,33,15592.307286923076,72431.76482709435,16109.164246153847,34815128.69230769
CyberShake_30,NSGA-II,5,34,15778.447749230765,89501.32815399038,16879.52386153846,34191362.92307693
CyberShake_30,NSGA-II,5,35,16343.601750528847,93609.89118990683,14334.82693846154,34103059.07692308
CyberShake_30,NSGA-II,5,36,16439.115103076925,83716.8178369291,13949.810400000004,34303586.00000001
CyberShake_30,NSGA-II,5,37,16541.796630859375,81186.00111315807,8367.828441538459,38224963.723076925
CyberShake_30,NSGA-II,5,38,16692.622803335336,87656.00649985878,6605.691903076924,40212980.646153845
CyberShake_30,NSGA-II,5,39,16705.997428461542,94644.35307157453,12376.546133846152,34923616.607692316
CyberShake_30,NSGA-II,5,40,17316.082862307692,87103.3718582452,16832.383476923074,33014659.653846152
CyberShake_30,NSGA-II,5,41,17707.763128461538,85798.75998382512,15755.137707692307,33347370.61538461
CyberShake_30,NSGA-II,5,42,17922.836539747597,91086.55551176082,10208.005364615383,37146732.569230765
CyberShake_30,NSGA-II,5,43,17923.979352307695,79828.24728835639,12120.085015384619,35027885.23076923
CyberShake_30,NSGA-II,5,44,18327.424717385817,95171.69194668572,11317.060015384619,35670350.23076922
CyberShake_30,NSGA-II,5,45,18547.84356366887,97143.81026234975,10987.139630769232,35512896.961538464
CyberShake_30,NSGA-II,5,46,18548.626296427283,101524.0144830078,8895.688476923076,36478962.15384616
CyberShake_30,NSGA-II,5,47,18684.436697692312,111235.90505370797,18840.80963076923,31983794.461538453
CyberShake_30,NSGA-II,5,48,18857.8174609375,106317.24657540867,6054.518056923077,39067500.45384616
CyberShake_30,NSGA-II,5,49,18962.326611328128,120533.25379716646,11360.873861538466,35399702.92307693
CyberShake_30,NSGA-II,5,50,18983.526359029445,77827.12012461838,15852.680400000003,33296418.499999993
CyberShake_30,NSGA-II,5,51,19185.109365234377,111868.14558770435,9379.879246153849,36311086.1923077
CyberShake_30,NSGA-II,5,52,19298.830140462745,119233.1864168029,13192.227323076928,34479909.84615384
CyberShake_30,NSGA-II,5,53,19298.830140462745,130272.9105620493,14751.052707692312,33952710.61538461
CyberShake_30,NSGA-II,5,54,19632.927604308894,106208.3353361809,6717.721133846155,37636261.60769231
CyberShake_30,NSGA-II,5,55,19637.227030769227,77765.5181227584,18083.863476923067,33807492.15384614
CyberShake_30,NSGA-II,5,56,20222.3745074369,122621.11195353669,10354.055749230773,35861373.338461526
CyberShake_30,NSGA-II,5,57,20423.82646484375,113739.27994203128,4203.666903076923,38705818.146153845
CyberShake_30,NSGA-II,5,58,20792.194725078123,105724.6535342999,9839.505784615387,36061689.26923076
CyberShake_30,NSGA-II,5,59,20897.810415039065,129498.65906322119,3302.138056923076,39247117.95384616
CyberShake_30,NSGA-II,5,60,21142.806345943507,92617.94715990985,12040.395784615386,35185449.269230776
CyberShake_30,NSGA-II,5,61,21291.09744140625,135819.20424770133,10619.404246153848,35681648.6923077
CyberShake_30,NSGA-II,5,62,21686.35520996094,98859.62207460337,8217.867323076924,36756594.84615386
CyberShake_30,NSGA-II,5,63,22580.386328125,109870.63168746996,4879.947092307693,39412921.8546154
CyberShake_30,NSGA-II,5,64,22702.85839179387,105075.88495547173,8698.108476923077,36647532.15384615
CyberShake_30,NSGA-II,5,65,23351.007011343147,95952.39503041765,7157.684980000002,37299486.800000004
CyberShake_30,NSGA-II,5,66,23525.38866173377,100025.73797808893,6152.682672307693,40846554.68461538
CyberShake_30,NSGA-II,5,67,24181.24362969351,151751.3244980739,12846.498092307693,34637136.38461539
CyberShake_30,NSGA-II,5,68,25009.691721871994,102075.54966125899,9682.033476923078,36227412.15384615
CyberShake_30,NSGA-II,5,69,25193.042782827524,102398.82931111177,7857.640364615386,36947450.069230765
CyberShake_30,NSGA-II,5,70,25437.124086538464,141549.5715474129,4520.044246153846,38515951.19230769
CyberShake_30,NSGA-II,5,71,26039.816962890625,133217.27087848258,5131.131553846154,38278160.80769231
CyberShake_30,NSGA-II,5,72,26046.098212890625,139344.53269111176,4392.706938461539,38561839.07692309
CyberShake_30,NSGA-II,5,73,26085.098212890625,150548.54822822113,4365.301938461539,38546246.57692309
CyberShake_30,NSGA-II,5,74,27732.25294921875,96165.17600852164,4641.595364615385,38658057.569230765
CyberShake_30,NSGA-II,5,75,30163.023779296873,107011.82560422475,4582.435364615385,38624397.569230765
CyberShake_30,NSGA-II,5,76,30367.30062988281,133951.3477145823,5369.895784615384,38021439.26923077
CyberShake_30,NSGA-II,5,77,32781.302377929685,117923.5547740024,3309.7511338461527,39213084.10769231
CyberShake_30,NSGA-II,5,78,32781.302377929685,127371.14231455227,3904.174246153845,38903131.192307696
CyberShake_30,MOEA/D,5,1,14445.192679230768,69705.72185214242,12134.225400000001,35149676.00000001
CyberShake_30,MOEA/D,5,2,16670.59414513221,92952.81980268328,7434.2304,37210158.5
CyberShake_30,MOEA/D,5,3,17655.63324307692,101068.89261384617,21124.555015384605,30941795.230769224
CyberShake_30,MOEA/D,5,4,18968.0674609375,116132.82320378907,4385.544210769232,39839492.76153846
CyberShake_30,MOEA/D,5,5,19359.08735314002,83258.58784183595,11850.868476923082,38680182.153846145
CyberShake_30,MOEA/D,5,6,19359.08735314002,85824.75643770132,9096.400364615389,39928250.06923076
CyberShake_30,MOEA/D,5,7,19595.868857692305,80048.50903307693,20241.140399999986,31157028.499999993
CyberShake_30,MOEA/D,5,8,19631.457799999996,89997.20566384614,20281.214630769216,31138491.961538453
CyberShake_30,MOEA/D,5,9,19631.457799999996,90014.92441384614,20253.809630769218,31122899.461538453
